DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE
DORZOLAMIDE / TIMOLOL,MYOSOPT,COLLYRE,20/ 5 MG/ML,BOITE D'UN  FLACON COMPTE-GOUTTES DE 5 ML ,Liste I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,COSOTIMOL,Collyre en solution ,20MG/5MG/ML,B/1FL. DE 5ML,LISTE I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,DORZASOPT,COLLYRE EN SOLUTION,20MG/5MG/ML,FL./5ML,Liste I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,OPTODROP-CO,COLLYRE EN SOLUTION,20MG/5MG/ML,FL./5ML,Liste I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,TIMOLAMID,COLLYRE EN SOLUTION,20MG/5MG/ML,FL./5ML,Liste I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,XOLAMOL,COLLYRE EN SOLUTION,20MG/5MG/ML,FL./5ML,Liste I
DORZOLAMIDE CHLORHYDRATE EXPRIME EN DORZOLAMIDE/TIMOLOL MALEATE EXPRIME EN TIMOLOL,ZOLAMIDE +,COLLYRE EN SOLUTION,20MG/5MG/ML,FL./5ML,Liste I
LATANOPROST/TIMOLOL,LATADUO,COLLYRE EN SOLUTION,"0,05MG/ML 5MG/ML","FL/2,5ML",LISTE I
LATANOPROST/TIMOLOL,XALACOM,COLLYRE ,"50?G/5MG/ML (0,005%/0,5%)","FL./2,5ML",LISTE I
TIMOLOL MALEATE EXPRIME EN TIMOLOL,GELTIM LP,GEL OPHTALMIQUE EN RECIPIENT UNIDOSE,1MG/G,B/30RECIPIENTS UNIDOSE EN SACHET DE 10,Liste I
BIMATOPROST,LUMERA,COLLYRE EN SOLUTION,"0,1MG/ML",FL/3ML,LISTE I
BIMATOPROST,LUMERA,COLLYRE EN SOLUTION,"0,3MG/ML",FL/3ML,LISTE I
CHLORAMPHENICOL,CEBENICOL,COLLYRE ,0.004,FL/5ML,Liste I
CHLORTETRACYCLINE ,CLOMYCINE,PMDE.OPHT.,0.01,TUBE DE 5G,LISTE I
GENTAMICINE ,GENTAMYCINE,COLLYRE ,3MG/ML,FL/5 ML,Liste I
GENTAMICINE SULFATE (GENTAMICINE) ,GENTHERAXINE,COLLY.SOL.,3MG/ML,1 FLACON DE 5 ML,LISTE I
GENTAMICINE** ,APIGEN,COLLYRE ,3MG/ML,FL/10 ML,Liste I
GENTAMICINE** (SOUS FORME DE SULFATE),GENTADAR,COLLYRE ,3MG/ML**,FL./10ML,Liste I
GENTAMICINE** (SOUS FORME DE SULFATE),GENTALEX,COLLYRE ,3MG/ML,FL/5ML,Liste I
GENTAMICINE** (SOUS FORME DE SULFATE),GENTOCIL,COLLYRE ,"3MG/ML (0,3%)",FL/5ML,Liste I
GENTAMICINE (SOUS FORME DE SULFATE),"GENTAMICINE CHAUVIN O,3%",PDE.OPHT.,0.003,T/5G,Liste I
NEOMYCINE ,NEO EYE,COLLYRE ,"0,35%",FL/5 ML,Liste II
NEOMYCINE (SULFATE) ,OPHTAMYCIN,COLLYRE ,"0,35%",FL/10ML,Liste II
DEXAMETHASONE PHOSPHATE SODIQUE EXPRIME EN DEXAMETHASONE/NEOMYCINE SULFATE,DEXAMEX,COLLYRE EN SOLUTION,100MG/350000UI/100ML,FL./5ML,Liste I
DEXAMETHASONE PHOSPHATE/NEOMYCINE SULFATE,CHIBRO-CADRON,COLLYRE ,100MG/350000UI/100ML,FL/5ML,Liste I
DEXAMETHASONE PHOSPHATE/NEOMYCINE SULFATE EXPRIME EN NEOMYCINE,NEODRON,COLLYRE ,"1MG/3,5MG",B/01 FL 5ML,Liste I
DEXAMETHASONE/NEOMYCINE,NEODEX,COLLYRE ,100MG/350000UI/100ML,FL/10ML,Liste I
NEOMYCINE/POLYMYXINE B,CEBEMYXINE,COLLYRE EN SOLUTION,3 400UI/10 000UI,FL/10ML,Liste I
NEOMYCINE/POLYMYXINE B,NEOMIXIN,COLLYRE ,0.005,FL/10ML,Liste I
NEOMYCINE (SULFATE)**/TRIAMCINOLONE (ACETONIDE)**,CRONOLONE-NEO,PDE.OPHT.,"0,35 %**/0,1 %**",B/1T. DE 3G,Liste I
NORFLOXACINE,APIFLOX,COLLYRE ,"0,3% (OU 3MG/ML)",FL/10ML,Liste I
NORFLOXACINE,CHIBROGEN,COLLYRE ,"3MG/ML (0,3%)",B/1 FLACON DE 5ML,LISTE I 
NORFLOXACINE,CHIBROXINE,COLLYRE ,"0,3% (OU 3MG/ML)",FL/5ML,Liste I
NORFLOXACINE,NOROFLOX,COLLYRE EN SOLUTION,"0,3% (300 MG/100ML)",BOITE DE 1 FLACON DE 5 ML,LISTE I
RIFAMYCINE,RIFAMYCINE CHIBRET,COLLYRE EN SOLUTION,1 000 000 UI/100ML,FL/10ML,Liste I
RIFAMYCINE (SODIQUE),RIFAMYCINE CHIBRET,PDE.OPHT.,1000 000UI/100G (OU 1%),T/5G,Liste I
ACIDE FUSIDIQUE,FUCITHALMIC,GEL OPHT,0.01,T/3G,Liste I
FRAMYCETINE/DEXAMETHASONE,FRAKIDEX,COLLYRE EN SOLUTION,630.000UI/100MG/100ML,FL/5ML,Liste I
DEXAMETHASONE/OXYTETRACYCLINE,STERDEX,PDE .OPHT.EN RECIPIENT UNIDOSE,"0,267MG/1,335MG/RECIPIENT UNIDOSE",B/12 RECIPIENTS UNIDOSE,Liste I
TOBRAMYCINE,OBRAX,COLLYRE ,0.003,FL COMPTE GOUTTE DE 5 ML,Liste I
TOBRAMYCINE,TOBRADIS,COLLYRE EN SOLUTION,0.3% (3MG/ML),B/1 FLC COMPTE GOUTTE DE 5ML,LISTE I
FRAMYCETINE/DEXAMETHASONE,FRAKIDEX,PDE.OPHT.,"315 000 UI/0,1G/100G ",T/5G,Liste I
NEOMYCINE/POLYMYXINE B,CEBEMYXINE,PDE OPHT,340 000UI/1 000 000 UI/100G,T/5G,
CIPROFLOXACINE,CIPRO,COLLYRE,0.30%,FL/05 ML,LISTE I
CIPROFLOXACINE ** (SOUS FORME D' HDROCHLORIDE MONOHYDRATE),CIPRODAR,COLLYRE ,"0,3%**",FL/10ML,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CIPROTEK,COLLYRE ,0.003,FL COMPTE GOUTTE DE 5 ML,Liste I
INDOMETACINE/GENTAMICINE,INDOBIOTIC,COLLYRE ,5MG/15 000UI/5ML,FL/5ML,Liste I
BETAMETHASONE SODIUM PHOSPHATE/NEOMYCINE SULFATE,OPHTAMESONE N,"COLLY. , SOL AURIC. ,SOL. NAS.",1MG/5MG/ML,FL/10ML,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,CILOXAN,PDE.OPHT.,0.003,"T/3,5G",Liste I
GATIFLOXACINE** (SOUS FORME DE GATIFLOXACINE SESQUIHYDRATE),GATIFLOXACINE GL,COLLYRE ,"0,3% ( 3mg/ml) ",FL./5ML,LISTE I
GATIFLOXACINE** (SOUS FORME DE GATIFLOXACINE SESQUIHYDRATE),TYMER,COLLYRE ,"0,3%**",FL./5ML,
OFLOXACINE,CORONOL,COLLYRE EN SOLUTION,"0,3% ( 3mg/ml) ",FL/5ML,Liste I
OFLOXACINE,OFLOTEK,COLLYRE EN SOLUTION,"0,3% ( 3mg/ml) ",FL COMPTE GOUTTES DE 5ML,Liste I
OFLOXACINE,OFLOXINE,COLLYRE,"3MG/ML 0,3%",1 FLC DE 5ML,LISTE I
OFLOXACINE,OPTIFLOX,COLLYRE EN SOLUTION,0.003,FL/5ML,Liste I
TOBRAMYCINE/DEXAMETHASONE,DEXATEK,COLLYRE EN SOL,3MG/1MG,FL/05ML,LISTE II
TOBRAMYCINE/DEXAMETHASONE,OPTIDEX-T,COLLYRE EN SUSPENSION ,"0,3%/0,1%",FL./5ML,Liste I
TOBRAMYCINE/DEXAMETHASONE,TAUBRIGENE,COLLYRE ,"0,3%/0,1%",FL./5ML,Liste I
TOBRAMYCINE/DEXAMETHASONE,TOBRAMIDEX,COLLY.SOL.,"15MG/5ML(0,3%) et 5MG/5ML (0,1%)",1 FLC ,LISTE I
AZITHROMYCINE DIHYDRATEE EXPRIMEE EN AZITHROMYCINE,AZYTER,COLLYRE EN SOLUTION EN RECIPIENT UNIDOSE,15 MG/G,B/06RECIPIENTS UNIDOSES SOUS SACHET,Liste I
OXYTETRACYCLINE CHLORHYDRATE/DEXAMETHASONE,OXYDEX,PDE. OPHT,"0,5%/0,1%",TUBE/3G,Liste I
OFLOXACINE,FLOXEDOL,COLLY. EN GEL OPHTA,"0,3% (3 MG/ML)",FL/10ML,Liste I
ACIDE BORIQUE/BORATE DE SODIUM,DACRYOSERUM,SOL.LAVAGE OPHT.,"1,8%/1,2%",FL/150 ML ET B/20RECIPIENTS UNIDOSES DE 5ML,
PICLOXYDINE CHLORHYDRATE,VITABACT,COLLYRE ,0.0005,FL/10ML,
HEXAMIDINE (SOUS FORME DE DI-ISETHIONATE)**,DESOMEDINE,COLLYRE ,"0,1%**",FL/10ML,
ACICLOVIR,ACICLOSINA,PDE.OPHT.,3% (OU 30MG/G),T/5G,Liste I
DEXAMETHASONE PHOSPHATE SODIQUE EXPRIME EN DEXAMETHASONE/NEOMYCINE SULFATE/POLYMYXINE B SULFATE,P.N.D.,COLLYRE EN SOLUTION,100MG/350000UI/600000UI/100ML,FL/3ML,Liste I
DEXAMETHASONE/NEOMYCINE SULFATE/POLYMYXINE B SULFATE,ALPHAXITROL,COLLYRE ,1MG/3500UI/6000UI ,FL/COMPTE GTTES 5ML,LISTE I
DEXAMETHASONE/NEOMYCINE SULFATE/POLYMYXINE B SULFATE,MAXILODRE,COLLYRE ,100MG/350 000UI/60 0000UI/100ML,B/1 FL COMPTE GTTES DE 3ML,Liste I
HYDROCORTISONE,HYDROCORT,COLLYRE ,0.01,FL/10ML,Liste I
TRIAMCINOLONE ACETONIDE,CRONOLONE,PDE.OPHT.,0.001,B/1T. DE 5G,Liste I
DEXAMETHASONE/NEOMYCINE SULFATE/POLYMYXINE B SULFATE,MAXIDROL,PDE.OPHT.,"0,1G/350000UI/600000UI/100G","T/3,5G",Liste I
FLUOROMETHOLONE,OPTIF JAM,COLLYRE EN SOLUTION,0.001,FL/5ML,Liste I
PREDNISOLONE  ,OPHTAPRED,COLLYRE ,0.005,FL/10ML,Liste I
BETAMETHASONE SODIUM PHOSPHATE,OPHTAMESONE,COLLY. - SOL AURIC. -  SOL. NAS.,1MG/ML ,FL/10ML,Liste II
PREDNISOLONE (SOUS FORME D'ACETATE)**,OPTIPRED,COLLYRE EN SUSPENSION ,0.01,FL/5ML,Liste I
DEXAMETHASONE/OFLOXACINE,DEXAFLOX,COLLYRE EN SUSPENSION ,1MG/3MG/ML,FL/5ML,Liste I
DEXAMETHASONE/OFLOXACINE,OFLODEXA,COLLYRE EN SOL.,1MG/3MG,FL/5ML,LISTE I
DEXAMETHASONE PHOSPHATE SODIQUE EXPRIME EN DEXAMETHASONE PHOSPHATE,DEXADROP,COLLY.SOL.,1MG/ML,1 FLACON DE 3ML,LISTE I
DEXAMETHASONE PHOSPHATE SODIQUE EXPRIME EN DEXAMETHASONE PHOSPHATE,DEXAFREE,COLLYRE , 1MG/ML ,B/30,Liste I
ATROPINE,APITROPIN,COLLYRE ,0.005,FL/10ML,Liste I
ATROPINE (SULFATE) EXPRIME EN ATROPINE,CROPINE,COLLYRE ,0.005,FL/15ML,Liste I
ATROPINE,APITROPIN,COLLYRE ,0.01,FL/10ML,Liste I
ATROPINE (SULFATE) EXPRIME EN ATROPINE,CROPINE,COLLYRE ,0.01,FL/15ML,Liste I
CYCLOPENTOLATE,PENTOLATE,COLLYRE ,0.005,FL/10ML,Liste I
PHENYLEPHRINE ,APIFRIN -10,COLLYRE ,0.1,FL/10ML,
PHENYLEPHRINE CHLORHYDRATE,NEOSYNEPHRINE FAURE 10%,COLLYRE EN SOLUTION,0.1,FL/5 ML,
TROPICAMIDE,MYDRIATICUM,COLLYRE EN SOLUTION,0.005,FL./10ML,Liste I
TROPICAMIDE,MYDRICOL,COLLYRE EN SOLUTION,0.005,FL./5ML,Liste I
CYCLOPENTOLATE CHLORHYDRATE,CICLOPLEGICEDOL,COLLYRE ,( 10MG/ML)1 %,FL/5ML,Liste I
INDOMETACINE,INDOCOLLYRE,COLLYRE ,0.001,B/01 FL DE 5ML,Liste I
DICLOFENAC SODIQUE,DICLOCED,COLLYRE ,1MG/ML,FL/10ML,Liste II
DICLOFENAC SODIQUE,DICLOGESIC,COLLYRE EN SOLUTION,0.10%,FLC COMPTE GOUTTE 05ML,Liste II
DICLOFENAC SODIQUE,VOLTARENE,COLLYRE ,0.001,FL/5ML,Liste II
DICLOFENAC SODIQUE,XINAC,COLLYRE SOLUTION ,0.001,FL/5ML,LISTE II 
NANDROLONE,KERATYL,COLLYRE ,0.01,FL/5ML,Liste II
RETINOL,VITAMINE A FAURE,COLLYRE ,150 000UI,FL/10ML,
CARBOMERE 980 ,LACRINORM,GEL.OPHT,0.002,T/10G,
VERTEPORFINE,VISUDYNE,PDRE.SOL.INJ. IV,15MG,B/01FL. DE PDRE.,Liste I
ACIDE ASCORBIQUE/VITAMINE E/RUTOSIDE ,VELITEN,COMPRIME,200MG/50MG/200MG,B/30,
CARBOMERE 980,LIPOSIC,GEL OPHT.,"0,2% (OU 2MG/G)",T/10G,
HYALURONATE DE SODIUM,HYFRESH,COLLYRE EN SOLUTION,"0,2% (OU 2MG/ML)",FL./10ML,Liste I
HYALURONATE DE SODIUM,THERAFRESH,Collyre en solution ,"0,2% (OU 2MG/ML)",FL./10ML,LISTE I
HYPROMELLOSE,ARTELAC,COLLYRE ,"3,20MG/ML",FL./10ML,
POVIDONE,FLUIDABAK,COLLYRE EN SOLUTION,0.015,FL./10ML,
RANIBIZUMAB,LUCENTIS,SOL. INJ. INTRAVITREENNE,"10MG/ML (2,3MG/0,23ML)","B/01FL (2,3 MG/0,23ML)+ 01AIGUI. POUR FILTRE",Liste I
AFLIBERCEPT,EYLEA,SOL INJ INTRAVITREENE ,40 MG/ML,B/01 FL ,LISTE I
FLUOROMETHOLONE/CROMOGLYCATE DE SODIUM,OPTIF PLUS,SUSP. OPHT.,1MG/20MG**/ML,B/01FL. DE 5ML,Liste I
RIFAMYCINE SODIQUE,OTOFA,SOL AURIC . GTTES,"2,6G/100ML",FL/10ML,Liste I
CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,OTOCINE,SOL. AURI. STERILE,"2MG/ML (1MG/0,5ML)","B/20 RECIPIENTS UNIDOSES DE 0,5ML",
CIPROFLOXACINE CHLORHYDRATE EXPRIMEEEN CIPROFLOXACINE,OTOFLOX,SOL AURICULAIRE STERILE,1MG/0.5ML,B/20 RECIPIENTS UNIDOSE,Liste I
FLUOCINOLONE  ACETONIDE/ NEOMYCINE  SULFATE/POLYMYXINE B SULFATE,OTOCROVIS,SOL AURIC . GTTES,"0,025%/0,35%/1 000 000UI/100ML",FL/10 ML,Liste I
NEOMYCINE SULFATE/POLYMYXINE B SULFATE/DEXAMETHASONE METASULFOBENZOATE SODIQUE,POLYDEXA,SOL AURIC . GTTES,"650.000UI/1000.000UI/0,100G/100ML","FL/10,5ML",Liste I
POLYMYXINE/NEOMYCINE/ACETATE DE FLUDROCORTISONE/LIDOCAINE CHLORHYDRATE,PANOTILE,SOL AURIC . GTTES,"1000 000UI/1G/0,1G/4G",FL/8ML,Liste I
ACETYL- DL- LEUCINE,TANGANIL,SOL.INJ.,500MG/5ML,B/5AMP. DE 5ML,
ACETYL- DL- LEUCINE,TANGANIL,COMPRIME,500MG,B/30,
ACETYLLEUCINE,GANTANIL,Comprimé ,500MG,B/30,
BETAHISTINE,MEVERC,COMPRIME,8MG,B/20,Liste I
BETAHISTINE DICHLORHDRATE,SERC,COMP,8MG,B/100,LISTE I
BETAHISTINE DICHLORHYDRATE,ANATAX,COMPRIME ,8MG,B/60,LISTE I
EXTRAIT DE GINKO BILOBA TITRE A 24% D'HETEROSIDES DE GINKGO BILOBA ET 6% DE GINKOLIDES-BILOBALIDE,TANAKAN,SOL.BUV.,40MG/ML,FL/30ML+PIPETTE GRADUEE,
GINKGO BILOBA,GINKOBA,SOL. BUV.,40MG/ML,FL/15ML,
GINKGO (GINKGO BILOBA ) EXTRAIT QUANTIFIE,TANAKAN,COMPRIME PELLICULE ,40MG,B/30,
BETAHISTINE,BETASERC,COMPRIME,24MG,B/60,Liste I
BETAHISTINE (SOUS FORME DE DICHLORHYDRATE,VERSEC,COMPRIME,24 MG,B/60,Liste I
BETAHISTINE (SOUS FORME DE DICHLORHYDRATE,VERTIGO,COMPRIME,24 MG,B/60 ET B/30,Liste I
BETAHISTINE DICHLORHYDRATE,ANATAX,COMPRIME ,24MG,B/60,LISTE I
BETAHISTINE DICHLORHYDRATE,BETAHIST,COMPRIME,24MG,B/60,Liste I
BETAHISTINE DICHLORHYDRATE,VERTEC,COMPRIME,24 MG,B/60,LISTE I 
BETAHISTINE (SOUS FORME DE DICHLORHYDRATE)**,LECTIL,COMP. SEC. ADULTE,16MG,B/45,Liste I
BETAHISTINE (SOUS FORME DE DICHLORHYDRATE)**,MEVERC,COMPRIME,16MG,B/20,Liste I
BETAHISTINE DICHLORHYDRATE,ANATAX,COMPRIME SECABLE ,16MG,B/20,LISTE I
RESORCINOL/EPHEDRINE (CHLORHYDRATE),OSMOTOL,SOL. P. INST. AURC.,0.001,FL/10ML,
XYLENE,CERULYSE,SOL. AURIC.,5G/100G,FL/10ML,
PHENAZONE/CHLORHYDRATE DE LIDOCAINE,ORICALM,SOLUTION AURIC,4G/1G,F/15 ML SOIT 16G,
PHENAZONE/CHLORHYDRATE DE LIDOCAINE,OTIPAX,SOL. AURIC.,4G/1G pour 100G de solution,FL/15ML,
PHENAZONE/LIDOCAINE CHLORHYDRATE,OTIDIS,SOLUTION AURIC,4%/1%,F/15 ML SOIT 16G,
DOCUSATE DE SODIUM,ORILYSE,SOL POUR INHALATION AURICULAIRE EN GOUTES," 0,5 G/100 ML ( 0,05G/10 ML)",FL/10ML,
FLUBENDAZOLE,FLUBENE,COMPRIME ,100MG,B/06,
FLUBENDAZOLE,FLUVERBIEN,COMPRIME,100MG,B/06,
FLUBENDAZOLE,FLUVERMAL,COMPRIME,100MG,B/06,
FLUBENDAZOLE,FUZOL,COMPRIME,100 MG,B/06,
FLUBENDAZOLE,FLUBENE,SUSPENSION BUVABLE,20MG/ML,BOITE DE 1 FLACON DE 30 ML,
FLUBENDAZOLE,FLUDAZOL,SUSP.BUV.,100MG/5ML (2%),FL/30ML + CUILLERE A MESURE DE 5 ML,
FLUBENDAZOLE,FLUMOX,SUSP.BUV.,100MG/5ML,FL/30ML,
FLUBENDAZOLE,FLUVERDAL,SUSP BUV ,100MG/5ML,B/01 FL/30ML AVEC UN GOBELET DOSEUR,
FLUBENDAZOLE,FLUVERMAL,SUSP.BUV.,100MG/5ML,FL/30ML,
FLUBENDAZOLE,FLUVERMI,SUSP.BUV.,100MG/5ML (2%),FL/30ML + CUILLERE A MESURE DE 5 ML,
FLUBENDAZOLE,FLUVERZOL,SUSP BUV ,20MG/ML,FL/30ML AVEC UNE CUILLERE 0 MEUSURE DE 5ML,LISTE I
FLUBENDAZOLE,FUZOL,SUSPENSION BUVABLE,20 MG / ML ,BOITE D'UN FLACON DE 60 ML  UN FLACON EN VERRE DE 60 ML (30ML DE SUSPENSION BUVABLE) ET UNE CUILLERE BLANCHE TRANSPARENTE DE 5 ML ,Liste I
FLUBENDAZOLE,OXYDAZOLE,SUSP.BUV.,100MG/5ML (2%),FL/30ML,
FLUBENDAZOLE,ZOLOVER,Suspension buvable,20MG/ML ( OU 100MG/5ML ),B/1 FL de 30ML + cuillère à mesure de 5 ML,
MEBENDAZOLE,VERMAZOL,COMPRIME,100MG,B/6,Liste II
MEBENDAZOLE,WORMAZOL,COMPRIME A CROQUER,100MG,B/6,Liste II
MEBENDAZOLE,WORMAZOL,SUSP.BUV.,100MG/5ML,FL/30ML,Liste II
PYRANTEL,HELMINTOX,COMP.PELLI.SEC.,125MG,B/6,
PYRANTEL ,COMBANTRIN,COMPRIME,125MG,B/6,
PYRANTEL,COMBANTRIN,SIROP,"125MG/2,5ML",FL/15ML,
PYRANTEL,HELMINTOX,SIROP,"125MG/2,5ML",FL/15ML,
PYRANTEL ,HELMINTOX,COMP PELLI.SEC.,250MG,B/3,
ALBENDAZOLE,OXYZOL,COMP. PELLI. SEC.,400MG,B/01,Liste II
ALBENDAZOLE,VERTEL HUP,COMPRIME,400 MG,BOITE DE 1 ET BOITE DE 56,LISTE II
ALBENDAZOLE,VERTEN,COMPRIME ,400 MG,B/1 ET B/56,LISTE I 
ARTESUNATE,FALCI CARE,POUDRE ET SOLVANT POUR SOL INJ IV/IM,60 MG,B/01FL PDR DE 5ML + 01 AMP DE 01ML DE  BICARBONATE DE SDIUM BP 5%  (IM) + 01 AMP DE  5ML DE CHLORIDE DE SODIUM  BP 0.9% (IV),Liste I
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE PHARMALLIANCE,COMP OPELL SÉCABLES,500MG,B/20,LISTE II
ANTIMONIATE DE MEGLUMINE,GLUCANTIME,SOL. INJ IM OU INJ LOCALE,"1,5G/5ML",B/5,
TINIDAZOLE,FAGYX,COMPRIME PELLICULE ,500MG,B/4,Liste I
TINIDAZOLE,FASIGYNE,COMP.ENRO.,500MG,B/4,Liste I
BECLOMETASONE,BECLATE 250,SUSP.INHAL.,250µG/BOUFFEE,FL/200DOSES,Liste I
BECLOMETASONE,BECLOJET,SUSP.INHAL.BUCCALE,250µG/BOUFFEE,FL/200DOSES,Liste I
BECLOMETASONE DIPROPIONATE,CLENIL 250,AEROSOL,250µG/BOUFFEE,FL/200DOSES,Liste I
BECLOMETASONE,BECONASE,SUSP.NAS.,50µG/Dose,FL/100DOSES,Liste I
BECLOMETASONE DIPROPIONATE,BECANOS,SUSP. POUR PULVERISATION NASALE,50µG/DOSE,FLC DE 100 DOSES,LISTE I
BECLOMETASONE DIPROPIONATE MONOHYDRATE EXPRIME EN BECLOMETASONE DIPROPIONATE,NASABEC,SUSP. P. PULVERIS. NASALE,50µG/DOSE,B/01 FL. PULVERIS. DE 100 DOSES,Liste I
KETOTIFENE FUMARATE EXPRIME EN KETOTIFENE,TIFANEL,CP,1MG,B/30,Liste II
KETOTIFENE,TOTILAM,SIROP,1MG/5ML,FL/125 ML,Liste II
KETOTIFENE** (SOUS FORME DE FUMARATE),HASSALYSE,SOL. BUV.,1MG/5ML,FL/100ML,Liste II
KETOTIFENE** (SOUS FORME DE FUMARATE),KETOF,SOL. BUV.,1MG/5ML,FL./100ML,Liste II
KETOTIFENE** (SOUS FORME DE FUMARATE),ZADITEN,SIROP SANS ALCOOL,1MG/5ML,B/1FL. DE 150ML + UNE CUILLERE. MESURE DE 5ML,Liste II
SALBUTAMOL,SALBUTAMOL,SOL.INJ,"0,5MG/ML",B/10AMP. DE 1ML ,Liste I
SALBUTAMOL,VENTOLINE,SOL.INJ.S/C,"0,5MG/ML",B/6AMP,Liste I
SALBUTAMOL SULFATE,VENTAMOL,SOL.INJ.,"0,5MG/ML",B/10 AMP DE 1ML,LISTE I
SALBUTAMOL SULFATE EXPRIME EN SALBUTAMO,SLBUTAMOL RAZES,SOL INJ S/C,"0,5MG/ML",B/10 ET B/50 AMPS,LISTE I
SALBUTAMOL,ASMADIL,COMPRIME,2MG,B/30,Liste I
SALBUTAMOL,SALBUTAMOL,COMPRIME,2MG,B/20,Liste I
SALBUTAMOL,VANTAMED,COMPRIME SECABLE ,2MG,B/20,Liste I
SALBUTAMOL,RABWALYSE,SIROP,"0,40MG/ML OU 2MG/5ML",FL/150ML,Liste I
SALBUTAMOL  SULFATE EXPIRIME EN SALBUTAMOL,SALBUTAMOL  PHYSIOPHARM,"SOL, BUV",2MG/5ML,B/01 FLACON DE 125ML,Liste I
SALBUTAMOL  SULFATE EXPIRIME EN SALBUTAMOL,XABUMOL,SOL. BUV.,"2MG/5ML  (0,04G/100ML)",B/1FL. EN VERRE DE 125ML,Liste I
SALBUTAMOL (SOUS FORME DE SULFATE),SALBULAM,SOL.BUV.,2MG/5ML,FL/125ML,LISTE I
SALBUTAMOL** (SOUS FORME DE SULFATE),KOXMA,SIROP GOÛT ANANAS,2MG/5ML,FL/125ML,Liste I
SALBUTAMOL** (SOUS FORME DE SULFATE),SALBUMEX,SOL BUV,2MG/5ML,FL/150ML,Liste I
SALBUTAMOL,ASTHALIN,SOL.INHAL.BUCCAL.,100µG/BOUFFEE,FL/200DOSES,Liste I
SALBUTAMOL,VENTMAX,AEROSOL,100µG/DOSE,FL/200DOSES,Liste I
SALBUTAMOL,VENTOLINE,AEROSOL,100µG/DOSE,FL/200DOSES,Liste I
SALBUTAMOL SULFATE EXPERIME EN SALBUTAMOL,AEROL,SUSP POUR INHA,100µG/BOUFFEE,FL/200DOSES,Liste I
SALBUTAMOL,VENTOLINE,SOL.NEB.,5MG/ML,FL/10ML,Liste I
SALBUTAMOL SULFATE EXPRIME EN SALBUTAMOL,ASTHALIN,SOL.INHAL.PAR NEBULISEUR,5MG/ML**,FL/15ML,Liste I
TERBUTALINE SULFATE,ASMALINE,SOL INJ SC/IV,"0,5MG/ML",B/50AMP,LISTE I
THEOPHYLLINE,DIFFUMAX,COMP.SEC.LP,200MG,B/30,
BUDESONIDE,BUDECORT- 200,AEROSOL BUCCAL ,200µG/DOSE,FL/200DOSES,Liste I
IPRATROPIUM BROMURE,ATROVENT ENF.,SOL.INHAL.PAR NEBULISEUR,"0,25MG/2ML",B/10 RECIPIENTS UNIDOSES DE  2ML,Liste I
IPRATROPIUM BROMURE,ATROVENT ADUL .,SOL.INHAL.PAR NEBULISEUR,"0,50MG/2ML",B/10 RECIPIENTS UNIDOSES DE  2ML,Liste I
TERBUTALINE SULFATE,BRICANYL LP,COMPRIME A LIBERATION PROLONGEE,5MG,PILULIER/60,Liste I
TERBUTALINE,TALIN,SIROP,"0,3MG/ML",FL/100ML,Liste I
TERBUTALINE SULFATE,BRICAMEX,SOL BUV ,30 MG/100ML,FL/150 ML,LISTE I
TERBUTALINE SULFATE,ISOBUTALINE,SOL.BUV. SANS SUCRE,"0,3MG/ML",FL./150ML,Liste I
BECLOMETASONE,BECLATE - NASAL,AERO.NAS.,50µG/BOUFFEE,FL./120DOSES,Liste I
FLUTICASONE PROPIONATE,FLIXOTIDE,SUSP.INHAL.BUCCALE,50µG/DOSE,FL./120DOSES,Liste I
FLUTICASONE PROPIONATE,FLOHALE HFA 50 INHALER,SUSP. INHAL.BUCCALE EN SPYAY,50µG/DOSE,FL./120DOSES,Liste I
FLUTICASONE PROPIONATE,FLIXOTIDE,SUSP.INHAL.BUCCALE,125µG/DOSE,FL/120DOSES,Liste I
FLUTICASONE PROPIONATE,FLOHALE HFA 125 ,SUSP. INHAL.BUCCALE EN SPYAY,125µG/DOSE,FL./120DOSES,Liste I
FLUTICASONE PROPIONATE,FLIXOTIDE,SUSP.INHAL.BUCCALE,250µG/DOSE,FL/60DOSES,Liste I
FLUTICASONE PROPIONATE,FLOHALE HFA 250 ,SUSP. INHAL.BUCCALE EN SPYAY,250µG/DOSE,FL./120DOSES,Liste I
